,series-id,measurement,num-measurements,location-id,location-name,longitude,latitude,phenomenon,reference-value-lower,reference-value-upper,reference-value-color
3875,7014,1.0,2,1195,43R240 - Engis,5.39744605012733,50.58361434736873,Sulphur dioxide,-5.0,25.0,#0000FF
3885,7017,10.5,2,1195,43R240 - Engis,5.39744605012733,50.58361434736873,Nitrogen dioxide,-10.0,20.0,#0000FF
3895,7016,0.75,2,1195,43R240 - Engis,5.39744605012733,50.58361434736873,Nitrogen monoxide,-10.0,20.0,#0000FF
3904,6281,25.25,2,1059,40LD02 - Laakdal,5.021545977609839,51.12038413709952,Nitrogen dioxide,20.0,50.0,#0099FF
3915,6280,1.25,2,1059,40LD02 - Laakdal,5.021545977609839,51.12038413709952,Nitrogen monoxide,-10.0,20.0,#0000FF
3916,6283,0.985,1,1059,40LD02 - Laakdal,5.021545977609839,51.12038413709952,Benzene,,,#888888
3926,7129,0.23249999999999998,2,1217,45R501 - Charleroi,4.452171781049856,50.40931145201499,Carbon Monoxide,-10.0,100.0,#0000FF
3936,7008,9.521,2,1192,43R223 - Jemeppe,5.5164047551429976,50.62067087883932,Particulate Matter < 10 µm,-10.0,10.0,#0000FF
3945,7009,8.2875,2,1192,43R223 - Jemeppe,5.5164047551429976,50.62067087883932,Particulate Matter < 2.5 µm,5.0,10.4,#0099FF
3955,7143,14.271,2,1218,45R502 - Lodelinsart,4.458680858021719,50.428995392896255,Particulate Matter < 10 µm,10.0,20.0,#0099FF
3966,7022,0.843,2,1195,43R240 - Engis,5.39744605012733,50.58361434736873,Particulate Matter < 2.5 µm,-10.0,5.0,#0000FF
3976,7142,16.75,2,1218,45R502 - Lodelinsart,4.458680858021719,50.428995392896255,Ozone,-10.0,25.0,#0000FF
3986,7021,2.521,2,1195,43R240 - Engis,5.39744605012733,50.58361434736873,Particulate Matter < 10 µm,-10.0,10.0,#0000FF
3995,7144,7.7295,2,1218,45R502 - Lodelinsart,4.458680858021719,50.428995392896255,Particulate Matter < 2.5 µm,5.0,10.4,#0099FF
4005,7149,7.73,2,1219,45R510 - Châtelineau,4.521130208130443,50.41643335953812,Particulate Matter < 2.5 µm,5.0,10.4,#0099FF
4014,99998,11.985,2,1208,44R710 - Destelbergen,3.775262389645357,51.06127769765467,Particulate Matter < 2.5 µm,10.5,15.0,#009900
4025,7148,13.521,2,1219,45R510 - Châtelineau,4.521130208130443,50.41643335953812,Particulate Matter < 10 µm,10.0,20.0,#0099FF
4034,99999,13.629999999999999,2,1048,40HB23 - Hoboken,4.341005064562842,51.17029803843545,Particulate Matter < 2.5 µm,10.5,15.0,#009900
4044,99997,12.455,2,1200,44N012 - Moerkerke,3.362535888701597,51.25457362243645,Particulate Matter < 2.5 µm,10.5,15.0,#009900
4054,99994,13.865,2,1127,42M802 - Antwerpen,4.42439900693533,51.2609897074671,Particulate Matter < 2.5 µm,10.5,15.0,#009900
