row,message_id,message_send_time_utc,measurement_time_utc,country_code,location,city,latitude,longitude,source_type,source_name,parameter_name,parameter_value,parameter_unit
2319,c22cf39d-bfd0-5851-b26d-af8681f921d3,2022-12-20 04:36:57,2022-12-20 01:00:00,BE,BETN073,Namur,50.502716,4.988423,government,EEA Belgium,pm10,2.271,µg/m³
2320,98650753-cb87-51f9-a035-5b48f5ad5c7b,2022-12-20 04:36:58,2022-12-20 01:00:00,BE,BETN132,Luxembourg,49.719281,5.630398,government,EEA Belgium,no2,6.0,µg/m³
2321,e3d81142-5246-5935-9864-4d596c6f195f,2022-12-20 04:36:57,2022-12-20 01:00:00,BE,BETR803,Antwerpen,51.22863,4.428454,government,EEA Belgium,pm25,5.64,µg/m³
2322,b2b9baf4-3d26-5eb9-a87e-e6ef030f7657,2022-12-20 04:36:57,2022-12-20 02:00:00,BE,BETR803,Antwerpen,51.22863,4.428454,government,EEA Belgium,pm25,5.64,µg/m³
2323,c1f2bf0c-d3c5-5d14-87df-e317edec1d7e,2022-12-20 04:36:57,2022-12-20 01:00:00,BE,BETR710,Oost-Vlaanderen,51.061278,3.775262,government,EEA Belgium,pm25,5.64,µg/m³
2324,1ccd17b4-30ca-5771-b476-4baf0ee34b9b,2022-12-20 04:36:57,2022-12-20 01:00:00,BE,BELMN01,West-Vlaanderen,50.793469,3.109642,government,EEA Belgium,pm25,7.99,µg/m³
2325,0c3265dc-625b-50a1-8e38-39c75c729f88,2022-12-20 04:36:57,2022-12-20 02:00:00,BE,BETN012,West-Vlaanderen,51.254574,3.362536,government,EEA Belgium,pm25,7.52,µg/m³
2326,35effa01-0030-5865-8e76-a61a3e19b7e4,2022-12-20 04:36:57,2022-12-20 02:00:00,BE,BETN100,Namur,50.095683,4.594763,government,EEA Belgium,so2,1.0,µg/m³
2327,58f52f60-c02c-5f6c-bf72-737bfe05f6ee,2022-12-20 04:36:57,2022-12-20 01:00:00,BE,BETN012,West-Vlaanderen,51.254574,3.362536,government,EEA Belgium,pm25,6.58,µg/m³
2328,7d31151a-b6c3-5263-b6e3-490188ea3164,2022-12-20 04:36:57,2022-12-20 01:00:00,BE,BETR012,Brussels-Capital Region,50.796632,4.358539,government,EEA Belgium,so2,4.55,µg/m³
2329,2858daa0-dc71-5c27-8208-86bbe258df0e,2022-12-20 04:36:57,2022-12-20 02:00:00,BE,BETR512,Hainaut,50.40781,4.395897,government,EEA Belgium,so2,3.0,µg/m³
2330,80d2a99f-703e-5a35-b1c3-f5844e17ab95,2022-12-20 04:36:57,2022-12-20 02:00:00,BE,BELWZ02,Antwerpen,51.1928,5.221534,government,EEA Belgium,so2,1.0,µg/m³
2331,a4200fc9-f120-552f-9190-53d2cf091606,2022-12-20 04:36:57,2022-12-20 01:00:00,BE,BETR511,Hainaut,50.377592,4.4247,government,EEA Belgium,pm25,0.719,µg/m³
2332,091d8f9d-2a40-5ff8-81d0-d386146b2cd1,2022-12-20 04:36:59,2022-12-20 01:00:00,BE,BETN012,West-Vlaanderen,51.254574,3.362536,government,EEA Belgium,pm10,11.4,µg/m³
2333,5a16b2f2-8fba-560a-9f0d-eee9b1901901,2022-12-20 04:36:58,2022-12-20 01:00:00,BE,BETR801,Antwerpen,51.209663,4.431821,government,EEA Belgium,o3,44.5,µg/m³
2334,9a2ce410-f584-5e75-9c54-b80bcbad651e,2022-12-20 04:36:57,2022-12-20 01:00:00,BE,BELWZ02,Antwerpen,51.1928,5.221534,government,EEA Belgium,so2,1.0,µg/m³
2335,fdcb1f47-e58a-5789-a405-435cdba382e5,2022-12-20 04:36:57,2022-12-20 01:00:00,BE,BETN093,Namur,50.274478,5.235169,government,EEA Belgium,pm10,1.271,µg/m³
2336,159ed171-0a13-54ec-a6c1-8d6a34395223,2022-12-20 04:36:58,2022-12-20 02:00:00,BE,BETR892,Oost-Vlaanderen,51.263037,4.27889,government,EEA Belgium,no2,3.0,µg/m³
2337,ce48bea8-dff2-5c3a-a86a-e2b3e1d82170,2022-12-20 04:36:58,2022-12-20 02:00:00,BE,BETE714,West-Vlaanderen,51.278963,3.248624,government,EEA Belgium,no2,5.5,µg/m³
